tau1,tau2,tau3,tau4,p2,p3,p4,g1,g2,g3,g4,stabf
7.172275463,9.872878077,6.434165265,2.7032217,-0.686206921,-0.828423444,-1.743263654,0.662710544,0.431402404,0.409846869,0.778452647,0
1.106184245,9.475729958,9.759408591,1.756806706,-0.635616917,-0.545681093,-1.58905381,0.195207567,0.772348576,0.983096019,0.621677448,0
5.225871523,6.13627733,9.079720973,9.107283595,-1.161200487,-0.817645681,-1.094037992,0.214853792,0.110079809,0.149500837,0.662700858,0
7.700548048,6.712543888,4.294071322,7.192753101,-1.693859431,-1.45249208,-1.986944018,0.164199386,0.932308935,0.958485403,0.457209328,0
7.716364261,7.245717798,2.538139562,4.60189825,-1.730563719,-0.602138849,-1.884368601,0.896023368,0.260385049,0.765677639,0.275685615,0
4.526636366,7.295001193,4.309484033,2.763223933,-0.77745114,-0.814470418,-1.811410858,0.618899635,0.83080186,0.804882877,0.256656833,0
6.610580885,6.660675617,6.158339219,7.32727293,-0.92032843,-1.577416844,-0.553572144,0.626592829,0.90890247,0.407344463,0.254177039,0
4.354121334,8.524408133,9.831965437,7.254241729,-1.684619217,-0.991834941,-1.351227176,0.388585884,0.91643296,0.609475363,0.053658569,0
4.884845231,2.408747419,6.919398525,3.167890532,-1.744411447,-1.283926845,-0.916467298,0.515399567,0.572315896,0.403558056,0.622238058,0
4.595560764,7.148212964,5.896191075,3.997048183,-1.927619067,-0.581559505,-1.672691814,0.360059467,0.582426125,0.551169681,0.95042005,0
0.501330761,4.965751037,6.526576622,6.307095872,-1.697683024,-1.689575067,-0.879266856,0.345646452,0.629068338,0.930994321,0.875842713,0
6.806126441,7.14511877,8.362260053,8.973505141,-0.539951094,-1.874497663,-1.194707812,0.92434659,0.095706649,0.336151774,0.832807168,0
9.00349028,2.188023082,4.020071353,5.322570448,-1.021213838,-0.880519365,-1.774830869,0.221614123,0.191648294,0.880275069,0.837204925,0
8.698455707,4.93017838,1.640641549,4.425899414,-0.797595909,-0.982910044,-0.636440757,0.555451966,0.99571708,0.934712816,0.106451918,0
0.587732492,5.756665099,6.036269541,2.629748128,-1.889819814,-1.226022296,-0.652147115,0.191431553,0.526321371,0.646991043,0.595699108,0
4.835926153,2.88705023,4.074752636,2.505987061,-1.252819605,-1.517518793,-0.934674409,0.622247069,0.698034866,0.895729716,0.489005642,0
4.776798685,2.196930087,8.619219366,9.165927167,-0.622240663,-1.799969294,-1.645296104,0.993917045,0.763077245,0.330279561,0.668448036,0
8.51985807,5.707239224,8.028350122,4.324609583,-1.33743317,-1.184656678,-1.753783702,0.340531552,0.760425236,0.644271975,0.450740871,0
4.702132093,0.74874675,2.892926976,3.371053444,-0.714566052,-1.600282848,-0.538682628,0.541208538,0.532128645,0.741483109,0.779664822,0
7.041027401,7.179662983,8.968985517,5.177366847,-1.331656619,-1.860118314,-1.126557896,0.808347709,0.736963001,0.93476239,0.96743015,0
9.097628951,7.895144811,8.501273908,7.83781803,-0.659356416,-1.856659701,-0.850283158,0.633080939,0.144479952,0.776211159,0.501516149,0
4.008179112,4.405972069,2.542379674,2.217299632,-1.713726759,-1.578324794,-1.632081931,0.211394828,0.478604918,0.521471701,0.905360156,0
6.585378756,4.729441976,3.450058057,4.607087928,-1.1391058,-1.178645392,-1.725269234,0.780002707,0.261049847,0.265647573,0.150900683,0
0.781972807,7.640033171,5.647677704,4.314168271,-1.219363865,-1.146316317,-0.658998345,0.176167733,0.499028116,0.879700081,0.988468434,0
7.230080919,9.207876717,9.274752401,6.762729526,-1.490126139,-1.712970766,-1.26906074,0.170572379,0.773258465,0.281436625,0.830224038,0
7.946623627,8.754338064,3.078016547,1.704499257,-0.980963102,-1.403389558,-0.797472454,0.621769633,0.293325574,0.94892229,0.298270569,0
9.418560136,9.098000301,7.137025186,2.824744172,-0.78552372,-1.329256975,-1.222810019,0.054836296,0.66356796,0.821141874,0.208817378,0
9.997738127,3.873273491,3.609009614,9.429892644,-1.818321844,-0.910791002,-1.64187278,0.93212959,0.855457941,0.788191489,0.37726205,0
7.697576733,6.15449579,8.158733637,3.653875324,-1.386530263,-0.507047567,-1.236679313,0.121329615,0.838085899,0.716834816,0.397935967,0
1.648321644,4.13058182,9.595786505,7.811305899,-0.735832598,-0.652257576,-1.920764913,0.554733459,0.946935947,0.380199821,0.458347724,0
5.73592453,3.217287175,8.543416093,9.351867414,-0.58314347,-1.889355747,-0.799069019,0.702758554,0.819052797,0.170514317,0.256440407,0
7.429902372,5.77228289,2.527587939,5.524376221,-0.819107355,-1.761351037,-0.50801349,0.60498793,0.888108586,0.908594857,0.745665143,0
4.70021167,7.269063877,5.45056219,0.995161107,-1.525521161,-1.869528045,-1.084459158,0.204728698,0.426578037,0.779764636,0.175467256,0
1.182795346,9.181893061,2.894543368,6.821129316,-1.358221056,-1.600779888,-1.985371665,0.869973834,0.799112657,0.318198711,0.705648164,0
7.071107082,4.242963296,2.430596262,2.700044651,-1.365716774,-0.807608199,-1.256622828,0.926197852,0.305972945,0.524062604,0.83824823,0
5.399867257,1.130974251,4.993897223,3.50533452,-1.544412209,-0.722100981,-1.298815475,0.630337768,0.962996682,0.859653605,0.600483044,0
5.47553847,3.027894749,2.400617303,2.767861796,-1.278378262,-1.050875376,-0.576824355,0.992486461,0.89522092,0.676514116,0.62710999,0
5.167021248,1.403811396,9.166752503,4.24846392,-0.838358771,-1.105527326,-1.246445565,0.873040272,0.917764379,0.869685296,0.356746665,0
8.155506836,3.642221061,4.94423019,3.278350371,-1.075482107,-1.917064727,-1.703240984,0.653701129,0.116766644,0.880823262,0.17514209,0
5.586889683,9.203656272,2.321353289,1.167146373,-1.395414889,-1.61591594,-1.055705824,0.950869695,0.979733395,0.611894708,0.199553174,0
3.172340542,9.019336468,6.223317183,9.365966669,-1.022135726,-1.118932827,-1.863355638,0.879667039,0.810547874,0.886342986,0.153383481,0
7.892588021,2.883168158,6.470417914,7.137262879,-1.67898536,-0.574308227,-0.968366618,0.379056682,0.286442856,0.073100078,0.983964283,0
7.408768228,8.290949553,9.408267805,3.786504459,-0.525626327,-1.047838801,-1.145012094,0.851844029,0.771679213,0.411092642,0.551704576,0
8.688531992,2.281357176,8.613814594,9.167119696,-1.853011683,-1.8739774,-1.521316973,0.889054178,0.638805153,0.096599165,0.144194526,0
3.495674494,7.401677019,6.562835586,2.939999406,-1.381500457,-1.327190425,-1.313147266,0.632445741,0.153680835,0.510828067,0.783406462,0
3.255934309,4.555152103,1.490777193,4.138910204,-1.462133233,-1.528609497,-0.964808642,0.503353233,0.762980031,0.591360199,0.782607032,0
0.920894916,8.999882608,8.421462623,8.627069217,-1.688933013,-1.070332985,-1.062213902,0.152449205,0.553039312,0.689286744,0.708888027,0
3.607192787,5.915512231,3.372870337,7.427274091,-1.185275724,-1.008951754,-0.936527828,0.671216175,0.647488921,0.972749656,0.409011135,0
6.414446655,4.408388366,2.686817657,7.82498542,-1.037987405,-0.949118857,-1.022717141,0.422353461,0.415750455,0.528506337,0.319644397,0
8.692902415,4.3887746,8.957026696,4.109278237,-1.804202515,-1.959901436,-1.213211641,0.159291275,0.799628315,0.566802814,0.707477305,0
8.704417747,4.893868757,3.662662029,5.475416167,-1.246137331,-0.639914321,-0.527613292,0.690355092,0.798797597,0.506691999,0.080804649,0
6.934931289,7.038598869,8.014222276,1.399510329,-1.119494719,-1.030050052,-1.948957066,0.844742791,0.394934345,0.076002802,0.111182061,0
8.326464676,9.891917795,7.758754691,5.874083215,-0.51107768,-0.763334399,-1.231336651,0.381368878,0.992626799,0.766116235,0.055000572,0
5.173701721,9.932287423,9.830283626,5.309478263,-1.980424072,-0.517322259,-0.877522095,0.178081363,0.975113286,0.679275792,0.264065299,0
9.881081922,4.958107742,8.352933207,5.315155338,-1.558506875,-0.778839652,-1.128724387,0.679798702,0.645277641,0.347484825,0.516739518,0
8.515214032,2.735892007,3.751394193,5.150119068,-1.313481227,-0.656077821,-0.612018174,0.657113706,0.670258441,0.159520008,0.349610346,0
1.609035669,6.471667059,4.697851821,6.612440079,-1.173024072,-1.293025,-1.804985724,0.217473645,0.126134658,0.733100647,0.725956474,0
0.765359373,6.13199085,8.556782107,5.79701112,-0.965364926,-1.16642799,-1.216043664,0.938924622,0.822822428,0.637311731,0.49258846,0
4.010856573,2.850612421,6.68684599,3.825131102,-1.516119932,-0.740506186,-1.965375652,0.33948838,0.815271074,0.299967054,0.965438532,0
7.369597094,5.874176649,9.068400906,6.27653617,-1.308853547,-0.639527101,-0.984631287,0.362829833,0.301268636,0.112539924,0.642166549,0
4.440963183,2.126053052,6.526881427,8.914585276,-1.962584527,-0.61778167,-1.789314425,0.499606398,0.549462863,0.413616832,0.399592743,0
9.723443904,3.551633207,9.088334558,3.398212372,-1.766416467,-1.285964208,-1.511457287,0.286473774,0.1967188,0.902572792,0.64418392,0
8.879886765,4.745003602,4.093771137,5.532323453,-0.882188279,-0.574112432,-0.621861559,0.509340226,0.369334475,0.841621161,0.573907892,0
3.624148372,6.190839249,4.52380792,9.875433198,-0.762057005,-0.606289504,-0.640750245,0.93247343,0.445359455,0.924061708,0.35906976,0
8.148666995,5.945858221,4.220287988,3.846143552,-1.243790575,-0.536765128,-0.58880966,0.5371703,0.086466125,0.419127199,0.497330219,0
6.605371737,8.281426618,4.145001783,7.367875824,-1.49508058,-0.803430944,-1.126163146,0.252581568,0.463514773,0.196746475,0.751130776,0
9.16166024,1.626860458,4.879967182,6.279777911,-0.6219431,-1.862208058,-0.727793197,0.401253455,0.432863394,0.356547407,0.659516353,0
4.669702843,5.568914558,6.230894478,8.003370006,-0.899664231,-1.529444616,-1.252049795,0.821237957,0.75168664,0.517340826,0.578718271,0
3.728913755,5.646787048,8.854007191,1.222428026,-0.990859853,-0.682771225,-0.877156982,0.074273787,0.619347918,0.926698108,0.052852927,0
3.573996432,9.789625925,6.786829607,8.368711127,-1.984374937,-1.176975751,-1.381465115,0.779527203,0.593063467,0.997335435,0.811692488,0
9.267625885,2.234719291,5.189743409,6.354473264,-0.579479726,-1.527703953,-1.774318475,0.466458276,0.529423816,0.901329263,0.280276607,0
9.80267274,7.774524687,5.779665755,3.573760205,-0.66599775,-1.790406546,-0.726997828,0.134230741,0.253999058,0.624077919,0.558411253,0
8.465822835,6.150490496,9.221965025,0.513873976,-0.913819076,-0.511709082,-0.844178488,0.784277275,0.400410443,0.798765275,0.413097866,0
7.597085435,6.938153362,5.927323971,2.393237321,-0.929263777,-1.940231398,-1.835164727,0.935400485,0.055872819,0.89132067,0.931596826,0
9.96315901,8.447419636,6.415060879,7.199382412,-0.790873926,-1.605092399,-1.926691062,0.252135307,0.54564677,0.321072716,0.057593197,0
4.568130545,7.15100424,8.154281857,6.272398663,-1.741018862,-0.618832517,-1.288369652,0.387153402,0.356833645,0.916560871,0.822814867,0
4.637784333,5.462927362,2.30868495,6.686069781,-1.466967976,-0.686609858,-1.198318648,0.701447356,0.255649871,0.844182368,0.803626285,0
1.102960436,6.263261627,3.511654381,5.273726345,-1.196285523,-0.650657997,-1.043694154,0.986746164,0.112120241,0.755100267,0.880294317,0
4.452484027,7.19734998,6.776954644,0.961387402,-1.655211589,-0.968884984,-0.864837838,0.992571699,0.832818162,0.524146738,0.76112723,0
0.927240868,5.628826867,9.161522534,4.776742591,-1.54135011,-0.972043661,-1.265850144,0.691670373,0.831447536,0.1999989,0.528114967,0
2.945793451,1.503209893,8.101090674,3.31111943,-1.652942778,-1.338183166,-1.4173703,0.682502751,0.275763926,0.597186572,0.901456106,0
3.506559744,3.161599042,3.471134917,8.550492071,-0.811070467,-0.538419455,-1.715958134,0.950619989,0.701600992,0.786613501,0.56387261,0
9.868014549,8.325020657,9.685658379,8.6804444,-0.600180389,-1.103377253,-1.782966902,0.752715404,0.779126331,0.752342447,0.326388111,0
6.196723915,3.24949047,6.877979977,2.316388967,-0.934557347,-1.272444635,-1.181083192,0.253327352,0.122661543,0.825242529,0.698953315,0
3.157189844,4.20328767,6.061145396,4.022818971,-1.884439253,-0.57742506,-1.36129059,0.103467764,0.757494872,0.231422935,0.851493714,0
8.022940746,7.832833074,7.755353477,2.884482728,-1.850448381,-1.473530652,-1.268181363,0.869698119,0.193366354,0.071123743,0.127273982,0
1.358581823,5.642443948,0.904427866,8.14433314,-1.05954512,-1.09611361,-0.731170076,0.530461203,0.796444425,0.110606085,0.57013322,0
6.281069796,6.086207825,6.30842471,3.074089724,-1.670995102,-1.98715495,-1.44769229,0.745444213,0.681917963,0.219912639,0.859342208,0
6.159822992,9.19478648,3.7003605,8.876890566,-1.12192331,-1.017262016,-1.781813268,0.437274035,0.500124908,0.139453378,0.400809299,0
0.933850571,7.057552432,9.844551397,5.503612076,-0.86368151,-1.524897578,-1.21326126,0.73759542,0.34544637,0.791015838,0.757857651,0
3.851303662,4.591829929,5.257016254,6.680272745,-0.625697215,-1.500609025,-1.639918201,0.36996534,0.495679946,0.930501093,0.882936221,0
4.056332071,7.734627924,6.44304275,4.873350217,-1.340113939,-1.493192326,-1.747521732,0.476952946,0.050957672,0.794931179,0.736404703,0
8.681633542,9.92157602,3.237886724,1.169451507,-1.2332059,-1.726258896,-0.697190317,0.692015408,0.518358813,0.583057104,0.692904483,0
6.45494706,0.945614745,6.643796707,8.197227264,-1.248623643,-1.611189459,-1.090529519,0.100543755,0.109893833,0.99364526,0.568385191,0
1.766891895,3.115042377,6.835718261,7.086344308,-0.543374264,-1.529084783,-1.472984608,0.913113833,0.877512984,0.521346799,0.300565287,0
2.266634599,2.613317619,4.341056301,6.799616302,-0.545428427,-1.913036086,-0.861755973,0.079841438,0.760513359,0.920034657,0.514706816,0
9.95071436,5.228532999,3.599646436,8.474371234,-0.541551085,-1.307584666,-1.299675672,0.548213427,0.0506418,0.546891915,0.284012898,0
5.48741383,9.294325631,9.185321624,0.895511643,-1.030098357,-1.923219867,-1.021219013,0.812989299,0.355036853,0.835970131,0.101476349,0
8.227918361,7.178711459,9.672824761,6.12796917,-1.905561392,-1.871397351,-0.603319111,0.213959663,0.247765505,0.289346561,0.490830004,0
7.858227251,7.224837478,9.973077319,3.176808294,-1.8617681,-0.547834417,-1.033541821,0.195613286,0.884178231,0.888711977,0.708784971,0
6.475480777,3.812587992,3.080683248,7.01224711,-1.201038947,-1.516450577,-1.617977272,0.289394108,0.655852654,0.90995471,0.400425156,0
1.905493057,5.020058581,4.356235571,7.040447344,-1.756947607,-1.292457919,-0.746310446,0.099478925,0.685607173,0.616003339,0.359909465,0
7.841575135,6.928832481,8.413362963,6.202516153,-1.472576813,-1.335311432,-1.260287731,0.841870826,0.249892862,0.511013808,0.647989364,0
6.735351271,9.35163036,7.246863467,1.506516766,-0.929026669,-1.173451389,-1.272425394,0.906445401,0.869258794,0.560479668,0.822979965,0
6.147693907,4.74240097,7.931208766,2.23829335,-1.408768949,-1.831058097,-1.457688513,0.531641372,0.993833845,0.585196991,0.850592739,0
5.786212049,5.958645232,6.575004377,3.995872214,-0.926948527,-1.690421488,-0.891070748,0.241824854,0.973762829,0.090395773,0.51845446,0
2.265925429,9.241831273,2.593206449,7.710531435,-0.701873979,-1.616316483,-0.997222148,0.393654144,0.977168558,0.856982558,0.147354297,0
0.706961009,7.504501302,7.14213811,7.598860367,-1.386890898,-1.0168984,-1.351942397,0.402856979,0.644499457,0.302397634,0.925456666,0
8.351291407,9.634520782,6.428924454,0.929882232,-1.995367595,-1.070180025,-1.860117409,0.616286118,0.381044494,0.87539439,0.316122592,0
3.237348367,5.580533097,6.04934446,1.089167124,-1.919443151,-1.070538796,-0.891816668,0.742354657,0.885411499,0.122741629,0.918857801,0
9.199411794,2.688613749,1.317690924,9.478610935,-1.144168158,-1.217133714,-0.845912754,0.463703041,0.520998503,0.96260791,0.933460706,0
6.670634723,4.587046454,3.093952896,2.018840316,-1.644182003,-1.479515306,-1.010667975,0.763307052,0.988180224,0.870851273,0.530573442,0
4.103107943,1.683527138,6.077617444,2.157278152,-0.653269035,-1.126044479,-1.445538004,0.822216464,0.671600533,0.468422743,0.975266773,0
1.823481493,3.208265821,5.765335008,6.533229554,-1.902815698,-0.60273672,-0.712233641,0.117044985,0.162230719,0.820912674,0.712974996,0
6.885982209,3.59261967,2.523713727,8.62515316,-0.50839372,-1.56730829,-0.714202543,0.20680721,0.661342526,0.326450706,0.570242885,0
5.248363866,9.551960867,9.071376182,9.040120441,-1.894872272,-1.00858428,-0.61880118,0.196315539,0.580171961,0.523046558,0.928459704,0
5.825921638,2.056669247,3.840151105,2.754527607,-1.12336288,-1.80737563,-1.49525759,0.936519739,0.100453373,0.350045063,0.083053282,0
7.882990453,8.878625945,8.667317178,8.967202837,-1.504839245,-0.850828562,-1.280486248,0.571961554,0.856082174,0.672237562,0.530440923,0
7.18523459,3.62630858,7.915329308,6.415192965,-1.485623539,-1.313097537,-0.869304019,0.906306367,0.076115289,0.699991224,0.568674857,0
3.928196289,8.938438264,7.634359255,3.752973624,-1.444888599,-1.213138789,-1.108273908,0.204644383,0.767383234,0.518228815,0.924119681,0
6.209918582,2.949761775,7.740611279,4.70050364,-1.094768449,-0.634721906,-1.822332785,0.156498118,0.568146165,0.103755736,0.92126986,0
2.075587089,8.25827992,9.054440466,4.289326116,-1.228822786,-0.846101317,-1.785952821,0.219445767,0.470989514,0.828785779,0.932798482,0
6.146451329,7.801254924,2.127560898,8.66350989,-1.494139365,-0.938993496,-1.533575428,0.921446893,0.366814053,0.666675007,0.337339782,0
5.836112086,8.375784373,7.115672249,5.534688977,-0.950347705,-1.490840121,-0.586973812,0.3041852,0.882109729,0.646324274,0.392230051,0
1.372256652,8.18591947,8.763077906,5.387557584,-1.483380316,-1.915109608,-1.019078756,0.990896471,0.824781646,0.478699226,0.925296292,0
2.469464001,7.02972172,3.692993229,3.754427116,-1.950378781,-0.575729967,-1.871432886,0.60800242,0.096180205,0.946412657,0.890427032,0
7.107398303,9.287094602,2.371040582,9.084974005,-1.794193295,-1.948772512,-1.026674099,0.178886537,0.98429627,0.829719262,0.679231506,0
9.754081219,2.587997679,4.152751777,7.379718615,-0.821421091,-1.385401672,-1.289197281,0.231446845,0.598327729,0.567078048,0.842146197,0
5.49654355,7.273566949,3.122873988,2.970811643,-0.854794869,-1.986588663,-1.070013166,0.319176504,0.51258186,0.93003836,0.637006882,0
8.983694575,1.947090215,8.862442631,8.015116499,-1.577249678,-0.761937245,-1.461716479,0.675129096,0.472777186,0.878616886,0.327463868,0
6.634268012,1.56048716,7.790151249,7.097716451,-0.907570529,-1.067825407,-1.809642076,0.336001605,0.343709386,0.066868388,0.895857178,0
8.193944315,4.258644419,7.348788871,4.677727758,-1.403711168,-1.802104805,-0.984890436,0.652322603,0.861038201,0.106725142,0.623002905,0
9.022113708,6.221857917,5.761880134,9.227824442,-1.338796226,-1.154389988,-1.054754676,0.18031643,0.989248436,0.371198721,0.123368795,0
4.170073265,9.960432808,8.80873081,9.371098626,-0.871074747,-0.659802791,-1.624802729,0.746912248,0.495477333,0.077485957,0.716982671,0
5.51758189,8.957590886,1.436064829,6.313364862,-1.722767705,-1.345657635,-1.223091066,0.684753871,0.566761333,0.496002473,0.444885549,0
8.881390871,7.496179334,9.94731912,3.191084738,-1.22917811,-1.772203727,-1.050999255,0.144432643,0.573707406,0.517283053,0.659672365,0
2.772054674,2.875200227,6.096261507,4.587848758,-0.670741715,-0.853094461,-1.327071933,0.301637449,0.151389455,0.466714005,0.923861145,0
9.024641699,6.980562223,3.101844882,9.723747373,-0.635003756,-1.561456215,-1.395600812,0.243591902,0.453510432,0.687302382,0.965562227,0
8.392443641,3.816896458,4.280147446,7.037972138,-0.771603738,-0.500681724,-1.850486706,0.909809481,0.237681283,0.798228238,0.581632876,0
8.888394711,7.830807079,7.365777732,8.16777443,-1.985398536,-1.759232829,-1.362358572,0.537704146,0.057551239,0.499753458,0.256060686,0
2.928480911,4.204588722,5.666584069,8.612248597,-1.531911353,-0.761624422,-1.186762085,0.327073975,0.938490554,0.327347854,0.277802522,0
8.65526776,2.173161791,5.588613274,4.061071625,-1.614982208,-1.232276801,-0.885914353,0.780378757,0.991116798,0.714214646,0.619057407,0
2.41834405,4.911568535,5.148287872,8.761155712,-0.938662117,-0.535963956,-1.657673527,0.361176288,0.751463451,0.685938566,0.908319966,0
9.192316305,9.699553687,7.94573214,5.287847668,-0.557360401,-0.680469017,-1.29719116,0.802384942,0.172417058,0.257577771,0.967410794,0
9.053947998,1.897299589,9.973603177,6.712744555,-1.357936069,-1.836455544,-1.958224268,0.58252532,0.066784412,0.984856162,0.401187928,0
6.302254397,8.978167686,7.403812041,4.933648291,-1.870923579,-1.457197893,-1.513915266,0.105224924,0.956958741,0.16759892,0.512388341,0
4.203361135,5.424581784,8.940029497,8.352825919,-1.068693713,-1.780534369,-1.157547719,0.614827942,0.55367896,0.693131256,0.976845366,0
1.736034561,7.527489271,4.969469535,4.620647421,-1.004204265,-0.756209259,-0.892857609,0.057034618,0.803832916,0.967521704,0.463562626,0
7.563440045,7.950931906,2.740840697,2.985925166,-1.52770235,-1.039932549,-1.269282874,0.843186567,0.886038723,0.775099001,0.699966214,0
9.85893507,2.098799227,6.238848884,3.287536376,-0.991057717,-1.801055036,-0.895303206,0.849904008,0.466351893,0.21307134,0.337594197,0
7.899818809,3.184633723,1.945251637,3.044664972,-0.824034174,-1.250468452,-0.901420002,0.999846015,0.646396701,0.371877321,0.979717412,0
3.507014534,7.153355664,4.613492349,4.316703632,-1.843323306,-0.769643329,-1.192316752,0.949405749,0.544777191,0.746886765,0.508727813,0
1.317477134,3.675947859,9.406762327,4.022438305,-1.02382274,-1.728670237,-1.429361398,0.370096657,0.118600695,0.73633522,0.919218278,0
1.636446369,7.111274929,8.432296633,7.868966786,-0.796461436,-1.892505267,-1.263420922,0.368937147,0.458115111,0.413198175,0.780566436,0
3.723734127,7.94472052,4.753048738,6.622905403,-1.002217617,-1.640854862,-0.784327615,0.148439508,0.375343551,0.386749085,0.72580221,0
5.635357533,3.450787059,3.907924855,9.878558134,-1.666307456,-0.522393047,-1.524816438,0.371773108,0.840958467,0.615647892,0.747250346,0
2.290821188,8.423681883,5.167530055,9.312507876,-1.208150483,-1.651649969,-1.303206882,0.326306965,0.9169636,0.284674265,0.941230188,0
8.871558485,9.265800679,5.611901736,6.520925752,-1.815376963,-1.139998151,-1.341140161,0.906564715,0.927600226,0.834428286,0.483806175,0
3.910362574,3.071496424,3.119448139,4.947930234,-0.679196636,-1.167488681,-1.435167178,0.767779021,0.671053102,0.5430283,0.962155211,0
5.727268101,9.863512363,3.912424396,8.90320688,-1.54379954,-1.225866575,-0.77811821,0.663080303,0.073263253,0.3405606,0.458603429,0
3.291941505,4.245594642,6.076056629,8.712024685,-0.659904141,-0.743239823,-1.393953658,0.986947012,0.105136197,0.512034298,0.75191017,0
7.692285109,4.403403609,2.652225951,3.888499007,-1.995129826,-0.845607584,-1.895309593,0.60888706,0.074347266,0.234894362,0.989824706,0
6.951279707,9.381550058,3.800856784,8.217540526,-0.521595491,-1.36864375,-1.63202877,0.470550373,0.800761568,0.491796275,0.644886587,0
8.723931239,2.447145766,5.453310489,3.948046183,-1.632544535,-0.956788091,-0.633188386,0.830457194,0.407461931,0.603005745,0.988075055,0
8.372188784,6.613999506,7.975165966,7.570655203,-1.87176194,-0.749266097,-0.811375272,0.650829374,0.762333083,0.509164423,0.329944981,0
9.570020198,4.093301577,6.130276092,6.606539257,-1.785798001,-1.019654624,-1.636290083,0.1157587,0.797593573,0.983598504,0.186850513,0
1.459629272,7.392013935,7.972684939,7.299521062,-1.618945259,-1.288388984,-1.722230077,0.26580913,0.872869444,0.225740277,0.239410726,0
4.685690467,5.404046561,3.190355363,6.47804246,-0.839279412,-1.301435898,-1.538563437,0.692165971,0.376047613,0.568857613,0.394922376,0
8.141957603,3.673604208,2.502762101,6.912549115,-1.984025874,-1.505380395,-0.711284353,0.94467693,0.913204788,0.165055816,0.37393299,0
7.583838989,3.88482593,0.529675599,9.49813455,-1.007615268,-0.674617828,-0.75557237,0.985453223,0.137832945,0.094858282,0.936148413,0
7.405638376,5.246242588,3.609883691,1.911745519,-1.782354225,-0.82403374,-1.990612499,0.557906075,0.882942767,0.974656967,0.768389555,0
4.800217071,2.032820368,6.904981776,6.833015178,-1.946752115,-1.357245023,-1.46253628,0.668713326,0.439368895,0.280032956,0.272144457,0
8.636979186,9.384898246,9.89524859,1.940942186,-1.372378578,-1.651456827,-1.02537577,0.683660408,0.565944743,0.245936762,0.172291969,0
